transaction_id,date,customer_id,product,category,region,channel,quantity,unit_price,discount,revenue
T00001,2025-11-24,C0378,Laptop Air 13,Computers,North,Partner,1,965.82,0,965.82
T00002,2025-10-07,C0120,Laptop Air 13,Computers,North,Partner,2,950.29,0,1900.58
T00003,2025-04-12,C0302,Smartphone Lite,Phones,East,Online,2,482.26,0.05,916.29
T00004,2025-03-23,C0391,Smartphone Lite,Phones,East,Online,1,481.95,0,481.95
T00005,2025-02-17,C0023,USB-C Dock,Accessories,West,Partner,1,160.98,0.1,144.88
T00006,2025-03-05,C0186,USB-C Dock,Accessories,South,Partner,1,161.45,0,161.45
T00007,2025-02-05,C0120,Laptop Pro 14,Computers,North,Retail,2,1374.64,0.1,2474.35
T00008,2025-05-23,C0108,Noise-Cancel Headset,Audio,East,Partner,2,176.21,0,352.42
T00009,2025-12-16,C0126,Smartphone X,Phones,South,Retail,1,802.27,0.05,762.16
T00010,2025-07-14,C0351,Mechanical Keyboard,Accessories,East,Online,5,119.81,0.05,569.1
T00011,2025-04-28,C0291,Laptop Pro 14,Computers,East,Online,3,1231.38,0,3694.14
T00012,2025-12-02,C0136,Noise-Cancel Headset,Audio,South,Online,1,178.12,0.15,151.4
T00013,2025-10-15,C0205,Webcam HD,Accessories,East,Online,1,93.25,0.05,88.59
T00014,2025-03-12,C0079,Webcam HD,Accessories,South,Partner,1,92.86,0.1,83.57
T00015,2025-08-05,C0271,Tablet 11,Tablets,East,Partner,1,528.71,0,528.71
T00016,2025-01-06,C0137,Smartphone X,Phones,East,Online,2,802.54,0.05,1524.83
T00017,2025-05-31,C0369,USB-C Dock,Accessories,East,Partner,1,163.24,0,163.24
T00018,2025-04-02,C0328,Webcam HD,Accessories,South,Online,3,86.85,0.1,234.49
T00019,2025-07-11,C0001,27in Monitor,Monitors,East,Retail,2,350.27,0.1,630.49
T00020,2025-01-10,C0158,Laptop Air 13,Computers,South,Online,4,1038.76,0.1,3739.54
T00021,2025-05-04,C0036,Tablet 11,Tablets,South,Online,4,498.16,0,1992.64
T00022,2025-12-04,C0311,Noise-Cancel Headset,Audio,West,Online,4,179.59,0,718.36
T00023,2025-10-04,C0344,Smartphone Lite,Phones,East,Retail,2,492.95,0.1,887.31
T00024,2025-09-22,C0302,Noise-Cancel Headset,Audio,South,Partner,1,175.52,0,175.52
T00025,2025-04-23,C0017,Laptop Pro 14,Computers,East,Online,1,1256.75,0.05,1193.91
T00026,2025-09-21,C0371,24in Monitor,Monitors,West,Online,1,230.08,0.05,218.58
T00027,2025-08-31,C0217,USB-C Dock,Accessories,West,Retail,1,157.68,0,157.68
T00028,2025-01-28,C0373,Smartphone X,Phones,East,Online,2,756.87,0.05,1438.05
T00029,2025-05-08,C0143,24in Monitor,Monitors,West,Online,1,226.85,0,226.85
T00030,2025-02-08,C0334,Noise-Cancel Headset,Audio,North,Online,3,170.36,0.1,459.97
T00031,2025-05-02,C0031,27in Monitor,Monitors,South,Retail,1,364.27,0.05,346.06
T00032,2025-01-02,C0217,USB-C Dock,Accessories,West,Online,1,158.14,0.1,142.33
T00033,2025-04-08,C0032,Mechanical Keyboard,Accessories,East,Online,1,122.37,0,122.37
T00034,2025-01-26,C0030,Tablet 11,Tablets,North,Online,1,500.86,0.15,425.73
T00035,2025-02-05,C0292,Tablet 11,Tablets,South,Partner,1,493.24,0.1,443.92
T00036,2025-11-01,C0268,Laptop Pro 14,Computers,East,Retail,2,1312.04,0,2624.08
T00037,2025-04-15,C0344,Smartphone X,Phones,East,Retail,2,789.01,0,1578.02
T00038,2025-06-11,C0052,Laptop Air 13,Computers,North,Partner,1,1006.55,0.05,956.22
T00039,2025-04-20,C0126,Webcam HD,Accessories,East,Retail,1,93.07,0.15,79.11
T00040,2025-03-22,C0335,Noise-Cancel Headset,Audio,North,Partner,3,181.4,0.1,489.78
T00041,2025-10-11,C0136,Mechanical Keyboard,Accessories,North,Online,4,124.4,0,497.6
T00042,2025-10-11,C0105,27in Monitor,Monitors,East,Partner,1,358.11,0.05,340.2
